City,State,Region,Country,Post Code,Title,Creator,Owner,Value,Currency,Weighted value,Currency of Weighted value,Probability,Organization,Pipeline,Contact person,Stage,Deal created,Update time,Last stage change,Next activity date,Last activity date,Won time,Last email received,Last email sent,Lost time,Deal closed on,Expected close date,Status,Lost reason,Visible to,ID,Total activities,Done activities,Activities to do,Email messages count,Label,Product quantity,Product amount
Glendale,California,Los Angeles County,United States,91206,,Salesperson 6,Salesperson 6,7500,USD,0,USD,,,Sales,,New Lead,2021-05-25 17:21:34,2021-05-25 08:24:20,,,,,,,,,,Open,,entire company,13399,1,0,1,0,,,
Burlington,New Jersey,Burlington County,United States,08016,,Salesperson 3,Salesperson 3,7500,USD,0,USD,0,,Sales,,New Lead,2021-05-25 12:42:17,2021-05-25 06:31:16,2021-05-25 06:29:26,2021-05-25,2021-05-25,,,,,,,Open,,entire company,13398,0,0,0,0,,,
San Tan Valley,Arizona,Pinal County,United States,85142,,Salesperson 1,Salesperson 1,7500,USD,0,USD,0,,Sales,,New Lead,2021-05-25 10:59:54,2021-05-25 02:03:17,,,,,,,,,,Open,,entire company,13397,1,0,1,0,,,
Marietta,Georgia,Cobb County,United States,30067,,Salesperson 6,Salesperson 6,7500,USD,0,USD,0,,Sales,,New Lead,2021-05-25 09:03:50,2021-05-25 09:18:35,,,,,,,,,,Open,,entire company,13396,1,0,1,0,,,
Houston,Texas,Harris County,United States,77025,,Support,Support,7500,USD,0,USD,0,,Sales,,New Lead,2021-05-25 09:01:21,2021-05-25 09:16:20,,,,,,,,,,Open,,entire company,13395,2,0,2,0,,,
Monroe,New York,Orange County,United States,10950,,Salesperson 3,Salesperson 3,7500,USD,0,USD,,,Sales,,New Lead,2021-05-25 08:49:02,2021-05-25 00:09:11,,,,,,,,,,Open,,entire company,13394,1,0,1,0,,,
Riverside,California,Riverside County,United States,92508,,Salesperson 1,Salesperson 1,7500,USD,0,USD,,,Sales,,New Lead,2021-05-25 08:41:11,2021-05-25 08:41:24,,,,,,,,,,Open,,entire company,13393,1,0,1,0,,,
Corona,California,Riverside County,United States,92883,,Salesperson 6,Salesperson 6,7500,USD,0,USD,,,Sales,,New Lead,2021-05-25 08:15:38,2021-05-25 08:15:56,,,,,,,,,,Open,,entire company,13392,1,0,1,0,,,
Laguna Niguel,California,Orange County,United States,92677,,Salesperson 3,Salesperson 3,7500,USD,0,USD,,,Sales,,New Lead,2021-05-25 07:55:07,2021-05-25 07:55:16,,,,,,,,,,Open,,entire company,13391,1,0,1,0,,,
Newcastle,California,Placer County,United States,95658,,Salesperson 2,Salesperson 2,7500,USD,0,USD,0,,Sales,,New Lead,2021-05-25 07:33:46,2021-05-25 07:33:59,,,,,,,,,,Open,,entire company,13390,1,0,1,0,,,
Truckee,California,Nevada County,United States,96161,,Salesperson 1,Salesperson 1,7500,USD,0,USD,0,,Sales,,New Lead,2021-05-25 07:17:12,2021-05-25 06:00:47,2021-05-25 05:03:06,2021-05-25,2021-05-25,,,2021-05-25 05:02:56,,,,Open,,entire company,13389,1,0,1,0,,,
Elm Grove,Wisconsin,Waukesha County,United States,53122,,Salesperson 2,Salesperson 2,7500,USD,0,USD,0,,Sales,,New Lead,2021-05-25 07:15:16,2021-05-25 07:15:25,,,,,,,,,,Open,,entire company,13388,1,0,1,0,,,
Houston,Texas,Harris County,United States,77006,,Salesperson 6,Salesperson 6,7500,USD,0,USD,,,Sales,,New Lead,2021-05-25 07:10:52,2021-05-25 07:11:09,,,,,,,,,,Open,,entire company,13387,1,0,1,0,,,
Benton,Kentucky,Marshall County,United States,42025,,Support,Support,7500,USD,0,USD,0,,Sales,,New Lead,2021-05-25 06:31:54,2021-05-25 06:08:31,2021-05-25 05:07:06,2021-05-25,2021-05-25,,,2021-05-25 05:06:55,,,,Open,,entire company,13386,2,0,2,0,,,
Denver,Colorado,Denver County,United States,80224,,Support,Support,7500,USD,0,USD,0,,Sales,,New Lead,2021-05-25 05:57:27,2021-05-25 05:57:45,,,,,,,,,,Open,,entire company,13385,2,0,2,0,,,
Massapequa,New York,Nassau County,United States,11758,,Salesperson 3,Salesperson 3,7500,USD,0,USD,,,Sales,,New Lead,2021-05-25 03:38:20,2021-05-25 04:58:32,2021-05-25 03:48:54,2021-06-08,2021-05-25,,,2021-05-25 03:48:37,,,,Open,,entire company,13384,1,0,1,0,,,
Toms River,New Jersey,Ocean County,United States,08753,,Support,Support,7500,USD,0,USD,0,,Sales,,New Lead,2021-05-25 02:31:45,2021-05-25 03:26:46,2021-05-25 03:25:30,2021-06-16,2021-05-25,,,2021-05-25 03:26:35,,,,Open,,entire company,13383,2,0,2,0,,,
West Palm Beach,Florida,Palm Beach County,United States,33410,,Salesperson 1,Salesperson 1,7500,USD,0,USD,,,Sales,,New Lead,2021-05-25 02:16:50,2021-05-25 02:21:10,,2021-05-28,2021-05-25,,,2021-05-25 02:21:02,,,,Open,,entire company,13382,1,0,1,0,,,
Ormond Beach,Florida,Volusia County,United States,32174,,Salesperson 6,Salesperson 6,7500,USD,0,USD,0,,Sales,,New Lead,2021-05-25 01:57:01,2021-05-25 05:39:22,2021-05-25 05:34:03,2021-05-25,2021-05-25,,,2021-05-25 05:33:48,,,,Open,,entire company,13381,1,0,1,0,,,
Helena-West Helena,Arkansas,Phillips County,United States,72342,,Salesperson 3,Salesperson 3,7500,USD,0,USD,0,,Sales,,New Lead,2021-05-25 00:42:14,2021-05-25 00:42:22,,,,,,,,,,Open,,entire company,13380,1,0,1,0,,,
Clayton,North Carolina,Johnston County,United States,27520,,Support,Support,7500,USD,0,USD,0,,Sales,,New Lead,2021-05-25 00:42:01,2021-05-25 04:55:03,2021-05-25 04:54:47,2021-06-08,2021-05-25,,,2021-05-25 04:54:37,,,,Open,,entire company,13379,2,0,2,0,,,
Haverhill,Massachusetts,Essex County,United States,01832,,Salesperson 1,Salesperson 1,7500,USD,0,USD,0,,Sales,,New Lead,2021-05-24 23:44:14,2021-05-24 23:50:26,2021-05-24 23:49:58,,2021-05-25,,,,2021-05-24 23:50:25,2021-05-24 23:50:25,,Lost,Unresponsive,entire company,13378,1,0,1,0,,,
Newark,New Jersey,Essex County,United States,07103,,Salesperson 2,Salesperson 2,7500,USD,0,USD,,,Sales,,New Lead,2021-05-24 23:43:38,2021-05-25 01:57:41,2021-05-25 01:57:41,2021-06-08,2021-05-25,,,2021-05-25 01:57:05,,,,Open,,entire company,13377,1,0,1,0,,,
Tucson,Arizona,Pima County,United States,85715,,Support,Support,7500,USD,0,USD,0,,Sales,,New Lead,2021-05-24 23:15:05,2021-05-25 05:37:22,2021-05-25 05:34:57,2021-07-30,2021-05-25,,,2021-05-25 05:36:58,,,,Open,,entire company,13376,2,0,2,0,,,
Hastings-on-Hudson,New York,Westchester County,United States,10706,,Salesperson 2,Salesperson 2,7500,USD,0,USD,,,Sales,,New Lead,2021-05-24 22:48:56,2021-05-25 03:20:09,2021-05-25 03:19:12,2021-06-08,2021-05-25,,,2021-05-25 03:20:00,,,,Open,,entire company,13375,1,0,1,0,,,
Vallejo,California,Solano County,United States,94590,,Salesperson 2,Salesperson 2,7500,USD,0,USD,,,Sales,,New Lead,2021-05-24 21:59:58,2021-05-25 04:38:26,2021-05-25 04:38:09,2021-06-08,2021-05-25,,,2021-05-25 04:38:00,,,,Open,,entire company,13374,1,0,1,0,,,
Rahway,New Jersey,Union County,United States,07065,,Salesperson 2,Salesperson 2,7500,USD,0,USD,,,Sales,,New Lead,2021-05-24 21:55:12,2021-05-25 05:43:53,2021-05-25 02:41:08,,2021-05-25,,,,,,,Open,,entire company,13373,1,0,1,0,,,
Grand Rapids,Michigan,Kent County,United States,49506,,Salesperson 6,Salesperson 6,7500,USD,0,USD,,,Sales,,New Lead,2021-05-24 21:53:33,2021-05-25 02:49:05,,,2021-05-25,,,,2021-05-25 02:49:05,2021-05-25 02:49:05,,Lost,Unresponsive,entire company,13372,1,0,1,0,,,
Boca Raton,Florida,Palm Beach County,United States,33428,,Salesperson 3,Salesperson 3,7500,USD,0,USD,0,,Sales,,New Lead,2021-05-24 21:02:08,2021-05-25 05:43:57,2021-05-25 03:29:12,2021-06-16,2021-05-25,,,2021-05-25 03:31:49,,,,Open,,entire company,13371,1,0,1,0,,,
Key Biscayne,Florida,Miami-Dade County,United States,33149,,Salesperson 1,Salesperson 1,7500,USD,0,USD,0,,Sales,,New Lead,2021-05-24 21:01:33,2021-05-25 05:41:38,2021-05-24 21:03:02,2021-06-22,2021-05-25,,,,,,,Open,,entire company,13370,0,0,0,0,,,
Gainesville,Florida,Alachua County,United States,32606,,Salesperson 6,Salesperson 6,7500,USD,0,USD,0,,Sales,,New Lead,2021-05-24 19:36:09,2021-05-24 23:58:15,,,,,,,,,,Open,,entire company,13369,1,0,1,0,,,
New York,New York,New York County,United States,10029,,Salesperson 3,Salesperson 3,7500,USD,0,USD,0,,Sales,,New Lead,2021-05-24 18:55:49,2021-05-25 05:43:14,2021-05-24 23:00:15,2021-06-08,2021-05-24,,,2021-05-24 22:59:55,,,,Open,,entire company,13368,0,0,0,0,,,
Wallingford,Connecticut,New Haven County,United States,06492,,Admin,Admin,5000,USD,200,USD,,,Sales,,Discussion,2021-05-24 18:33:14,2021-05-25 06:59:34,2021-05-25 06:54:08,2021-05-26,2021-05-25,,,,,,,Open,,entire company,13367,1,0,1,1,,,
Beacon,New York,Dutchess County,United States,12508,,Support,Support,7500,USD,0,USD,0,,Sales,,New Lead,2021-05-24 18:14:31,2021-05-25 05:11:07,2021-05-25 05:11:07,2021-05-26,2021-05-25,,,2021-05-25 05:10:36,,,2021-10-31,Open,,entire company,13366,2,0,2,0,,,
Atlantic Highlands,New Jersey,Monmouth County,United States,07716,,Salesperson 1,Salesperson 1,7500,USD,0,USD,0,,Sales,,New Lead,2021-05-24 17:19:02,2021-05-25 03:22:15,2021-05-25 03:22:15,2021-06-08,2021-05-25,,,,,,,Open,,entire company,13365,1,0,1,0,,,
Uniondale,New York,Nassau County,United States,11553,,Salesperson 1,Salesperson 1,12000,USD,480,USD,,,Sales,,Discussion,2021-05-24 14:41:41,2021-05-25 05:43:48,2021-05-25 02:20:04,2021-06-09,2021-05-25,,,2021-05-25 02:31:47,,,,Open,,entire company,13364,2,0,2,1,,,
Passaic,New Jersey,Passaic County,United States,07055,,Salesperson 2,Salesperson 2,7500,USD,0,USD,,,Sales,,New Lead,2021-05-24 14:21:13,2021-05-25 05:46:34,2021-05-25 04:24:02,2021-06-08,2021-05-25,,,2021-05-25 04:23:49,,,,Open,,entire company,13363,1,0,1,0,,,
Pomona,California,Los Angeles County,United States,91768,,Admin,Admin,5000,USD,200,USD,,,Sales,,Discussion,2021-05-24 14:10:03,2021-05-25 04:35:02,2021-05-25 04:34:53,2021-06-08,2021-05-25,,,2021-05-25 04:34:31,,,,Open,,entire company,13361,1,0,1,0,,,
Mastic Beach,New York,Suffolk County,United States,11951,,Salesperson 6,Salesperson 6,7500,USD,0,USD,0,,Sales,,Enquiry,2021-05-24 13:31:17,2021-05-25 05:43:45,2021-05-25 02:19:05,2021-06-08,2021-05-25,,,2021-05-25 02:18:43,,,,Open,,entire company,13360,3,1,2,1,,,
Florham Park,New Jersey,Morris County,United States,07932,,Salesperson 3,Salesperson 3,7500,USD,75,USD,,,Sales,,Enquiry,2021-05-24 12:49:25,2021-05-25 05:45:11,2021-05-25 04:20:07,2021-06-08,2021-05-25,,,2021-05-25 04:19:37,,,,Open,,entire company,13359,4,2,2,1,,,
